2019-12-06 10:20:34,914 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:20:44,915 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:20:54,915 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:21:04,916 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:21:14,916 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:21:24,917 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:21:34,917 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:21:44,917 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:21:54,918 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:22:04,918 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:22:14,919 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:22:24,920 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:22:34,920 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:22:44,921 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:22:54,921 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:23:04,922 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
2019-12-06 10:23:14,922 [Thread-2] INFO  [o.f.b.channel.event.filter.EventLogFilterManager] EventLogFilterManager.java:154 -  event filter manager, filter: 0, callback: 0
